SongTitle,SongDifficulty,SongBPM,ScorePassBool,ScoreValue,ScoreDate,ScoreFantastic,ScoreExcellent,ScoreGreat,ScoreDecent,ScoreWayOff,ScoreMiss
Anything Could Happen,11,145,TRUE,93.71,9/4/2020,907,217,27,0,0,4
Stay Alive (Jun Kuroda Bootleg Remix),12,174,TRUE,85.42,9/4/2020,1034,323,88,3,3,30
Eros and Apollo,11,121,TRUE,94.61,8/31/2020,813,171,20,2,0,3
Crab Rave,11,125,TRUE,96.46,8/31/2020,732,136,9,0,0,0
The Island Pt. 1 (Dawn),11,126,TRUE,93.50,8/31/2020,827,188,47,3,1,3
Big Sky (Agnelli & Nelson Remix),11,140,TRUE,96.12,8/31/2020,1016,159,14,0,0,2
Home (Above & Beyond Club Mix),12,138,TRUE,90.62,8/31/2020,1195,348,80,1,0,12
Tori no Uta (Luftinfektion Mix),12,149,TRUE,84.99,8/31/2020,1003,356,88,6,2,27
Electric Angel,12,150,TRUE,90.34,8/31/2020,837,269,57,2,1,11
Laika,11,148,TRUE,91.28,8/31/2020,866,257,59,4,0,4
The Other Side,11,138,TRUE,94.63,8/31/2020,694,174,22,0,1,0
Daydream (Will Atkinson Dreamy Mix),12,138,TRUE,88.81,8/31/2020,1368,444,130,1,2,15
Goodbye Goodbye,11,135,TRUE,91.07,8/31/2020,863,297,61,3,1,6
No Inbetween (John O'Callaghan Remix),12,140,TRUE,83.59,8/31/2020,1175,501,195,6,2,28
The Promise,12,150,TRUE,82.21,9/1/2020,1112,478,140,2,3,40
Moon Trance,11,128,TRUE,96.25,9/4/2020,1078,209,9,0,0,1
The Human Spirit,11,140,TRUE,94.23,9/4/2020,941,220,34,1,0,2
The Final Hour,12,165,TRUE,86.31,9/4/2020,701,251,55,2,0,18
Dirty Love (Dougal & Gammer Remix),12,170,TRUE,89.38,9/4/2020,1059,310,56,2,1,20
Beyond Life,12,140,TRUE,85.37,9/4/2020,1244,502,128,2,0,31
Theme From the Rock,12,139,TRUE,87.73,9/4/2020,996,306,89,2,1,16
Lucky Strike,11,144,TRUE,93.32,9/4/2020,483,152,21,0,0,1
Till Tears Overflow,11,135,TRUE,97.02,9/4/2020,754,131,5,0,0,0
Gekka,11,132,TRUE,97.00,9/8/2020,1566,212,24,0,0,0
Bang Bang,11,138,TRUE,97.87,9/8/2020,981,117,4,0,0,0
Switch !,11,140,TRUE,97.50,9/8/2020,1270,138,10,1,0,1
Garden State,12,136,TRUE,96.02,9/8/2020,1052,175,19,0,0,1
When We Were Lovers,11,124,TRUE,96.22,9/14/2020,689,108,11,0,0,1
Gangstertown,11,131,TRUE,97.61,9/14/2020,1048,139,5,0,0,0
Zi-Zi's Journey,11,140,TRUE,91.43,9/14/2020,782,276,56,1,0,4
I Don't Know Anything,11,130,TRUE,88.24,9/14/2020,859,323,102,2,1,7
